"%s is not correct comparsion method.","%s não é um método de comparação correto."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Por favor note</strong>, estas configurações são aplicadas aos itens do carrinho de compras, não para todo carrinho."
"Allow Qty Below 0","Quando Estoque Abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Quando Estoque Abaixo de 0 e Avisar Cliente"
"Backorders","Rejeitar Pedido"
"By Fixed value","Por valor fixo"
"By Percentage","Por porcentagem"
"Can not specify product identifier for order item","Não foi possível especificar um identificador de produto para o item pedido"
"Catalog Inventory","Estoque do Catálogo"
"Decrease Stock When Order is Placed","Baixar Estoque Quando Pedido for Feito"
"In Stock","Disponível"
"Index product stock status","Indexar status de produtos em estoque"
"Inventory","Estoque"
"Inventory API","Estoque API"
"Inventory Section","Seção Estoque"
"Manage Stock","Controlar Estoque"
"Maximum Qty Allowed in Shopping Cart","Qtd Máxima Permitida no Carrinho de Compras"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"No Backorders","Nenhum Pedido Rejeitado"
"Notify for Quantity Below","Avisar Quando Baixar de"
"Out of Stock","Esgotado"
"Product Stock Options","Opções de Estoque do Produto"
"Qty for Items' Status to become Out of Stock","Marcar como 'Esgotado' Quando Qtd Chegar a"
"Retrieve stock data","Recuperar dados do estoque"
"Retrieve stock data by product ids","Recuperar dados do estoque por id de produto"
"Rule price","Regras de Preço"
"Set Items' Status to be In Stock When Order is Cancelled","Colocar Status dos Itens 'Em Estoque' Quando Pedido é Cancelado"
"Some of the products are currently out of stock","Alguns produtos estão atualmente sem estoque"
"Some of the products can not be ordered in requested quantity","Alguns produtos não possuem a quantidade solicitada em estoque"
"Some of the products cannot be ordered in the requested quantity","Alguns produtos não possuem a quantidade solicitada em estoque"
"Stock Options","Opções de Estoque"
"Stock item for Product in option is not valid","Opções de estoque para o produto não é válido"
"Stock item for Product is not valid","Item do produto em estoque não é válido"
"Stock status","Status Estoque"
"The maximum quantity allowed for purchase is %s.","Quantidade máxima permitida para esta compra é %s."
"The minimum quantity allowed for purchase is %s.","Quantidade mínima permitida para esta compra é %s."
"The requested quantity for ""%s"" is not available.","A quantidade solicitada para ""%s"" não está disponível."
"The requested quantity is not available.","A quantidade solicitada não está disponível."
"This product is currently out of stock.","Este produto está atualmente sem estoque."
"This product is not available in the requested quantity. %s of the items will be backordered.","Este produto não está disponível na quantidade solicitada. %s de itens será retirado do pedido."
"To Fixed Value","Valor Fixo"
"To Percentage","Porcentagem"
"Undefined product type","Tipo de produto desconhecido"
"Update","Atualizar"
"Update product stock data","Atualizar dados de estoque do produto"
"Update the Product","Atualizar Produto"
