"%s","%s"
"%s already exist","%s já existe"
"%s already exists","%s já existe"
"-- Please Select --","Selecione..."
"Add Block Names to Hints","Adicionar Nome dos Blocos ao Avisos"
"Add Secret Key to URLs","Chave de Segurança na URL"
"Add Store Code to Urls","Incluir o código da loja nas URLs"
"Admin","Administrativo"
"Admin Base URL","Base URL da Administração"
"Admin User Emails","Emails Administrativos"
"Advanced","Avançado"
"Allow countries","Países Permitidos"
"Allowed IPs (comma separated)","IPs com Permissão (separados por vírgula)"
"Allows Customers to stay logged in when switching between different Stores.","Permite que Cliente continue logado ao mudar de Loja."
"Alternative text for Next Link in pagination menu. If empty, default arrow image will used","Texto alternativo para links de próxima página. Se vazio, a imagem de seta será usado"
"Alternative text for Previous link in pagination menu. If empty, default arrow image will used","Texto alternativo para links de página anterior. Se vazio, a imagem de seta será usado"
"Anchor Text for Next","Texto para Próxima Página"
"Anchor Text for Previous","Texto para Página Anterior"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Backup options","Opções de Backup"
"Base JavaScript URL","URL Base JavaScript"
"Base Link URL","URL Base Link"
"Base Media URL","URL Base Media"
"Base Skin URL","URL Base Skin"
"Base URL","URL Base"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de alterar o 'código' da visão de loja verifique se não é utilizado no arquivo index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de alterar o 'código' do sistema verifique se não é utilizado no arquivo index.php"
"Block with name ""%s"" already exists","Bloco com nome ""%s"" já existe"
"Browser Capabilities Detection","Capacidade de Detecção do Navegador"
"CSS Settings","Configurações CSS"
"Cache Storage Management","Gerenciamento de Cache"
"Cache storage can contain another data. Are you sure that you want flush it?","Armazenamento de Cache pode conter outras informações. Deseja mesmo liberar da memória?"
"Can't retrieve request object","Não foi possível recuperar objeto solicitado"
"Can\'t retrieve entity config: %s","Não foi possível recuperar configuração da entidade: %s"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","Não foi possível completar esta operação numa área não administrativa."
"Card type doesn\'t match credit card number","Tipo de cartão não coincide com número do cartão de crédito"
"Category object is required for determining product request path","Objeto categoria é obrigatório para determinar o caminho solicitado do produto"
"Code","Código"
"Configuration","Configuração"
"Controller file was loaded but class does not exist","Arquivo controlador não foi carregado mas classe não existe"
"Cookie Domain","Domínio"
"Cookie Lifetime","Ciclo de Vida"
"Cookie Path","Caminho"
"Copyright","Direitos Autorais"
"Countries options","Opções de Países"
"Create Store","Criar Loja"
"Create Store View","Criar Visão"
"Create Website","Criar Website"
"Credit card number doesn\'t match credit card type","Número do cartão de crédito não coincide com tipo de cartão"
"Current package name","Nome do template atual"
"Custom Design","Tema Personalizado"
"Custom Variables","Variáveis Personalizadas"
"Custom admin URL","URL personalizada para admin"
"Custom email 1","Personalizado 1"
"Custom email 2","Personalizado 2"
"Customer support","Suporte"
"Date From","Data Início"
"Date To","Data Final"
"Date/time format ""%s"" is not supported.","Data/hora formato ""%s"" não é suportado."
"Debug","Debugar"
"Default","Padrão"
"Default Description","Descrição Padrão"
"Default Keywords","Palavras-Chaves Padrão"
"Default Pages","Páginas Padrão"
"Default Robots","Robots Padrão"
"Default Store","Loja Padrão"
"Default Store View","Visão Padrão"
"Default Title","Título Padrão"
"Default country","País Padrão"
"Default no-route url","URL Sem Destino"
"Default web url","URL Padrão da Web"
"Delete","Excluir"
"Delete Store","Excluir"
"Delete Store View","Excluir"
"Delete Website","Excluir"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Excluindo um %1$s não irá excluir a informação associada com o %1$s (ex. categorias, produtos, etc.), mas o %1$s não poderá ser recuperado. Sugerimos que você faça um backup dos dados antes de excluir o %1$s."
"Design","Template"
"Design Change","Novo Tema"
"Developer","Desenvolvedor"
"Developer Client Restrictions","Limitar Acesso"
"Disable email communications","Desativar comunicação por email"
"Disable modules output","Desligar Módulos"
"Display demo store notice","Mostrar Mensagem de Loja Demonstração"
"Duplicate Of Template Name","Duplicar o Nome do Modelo"
"Edit Design Change","Editar Alterações no Template"
"Edit Store","Editar Loja"
"Edit Store View","Editar Visão"
"Edit Website","Editar Website"
"Empty identifier field name","Nome do identificador do campo vazio"
"Empty main table name","Nome da tabela principal vazio"
"Enable Prototype Deprecation Log","Ativar Log do Prototype"
"Enabled","Ativado"
"Enabled for Admin","Ativar para Admin"
"Enabled for Frontend","Ativar para Frontend"
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s"" - %s"
"Error while saving. Please try again later.","Erro enquanto salvava. Tente novamente."
"Error: Passwords do not match","Erro: Senhas não conferem"
"Exceptions Log File Name","Arquivo de Exceções do Sistema"
"First Day of Week","Primeiro Dia da Semana"
"Flush Cache Storage","Liberar Cache Armazenado"
"Flush Magento Cache","Liberar Cache do Magento"
"Footer","Rodapé"
"Forgot Password Email Sender","Remetente de Email Nova Senha"
"Forgot Password Email Template","Modelo de Email Nova Senha"
"General","Geral"
"General Settings","Configurações Gerais"
"General contact","Contato Geral"
"Global","Global"
"HTML Head","Cabeçalho HTML"
"Header","Cabeçalho"
"Host","Servidor"
"How many Links to display at once","Quantos links exibir ao mesmo tempo"
"Id path for specified store","Caminho Id para loja informada"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Se a posição atual não cobre as últimas páginas, irá exibir links para páginas anterior/próxima"
"Incorrect credit card expiration date","Data de expiração do cartão de crédito incorreto"
"Invalid base url type","Tipo de url base inválido"
"Invalid block name to set child %s: %s","Nome do bloco inválido para filho %s: %s"
"Invalid block type: %s","Tipo de bloco inválido: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Atualização de argumento de layout inválido, esperado Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Atualização de layout manual inválido"
"Invalid messages storage ""%s"" for layout messages initialization","Mensagens armazenadas inválidas ""%s"" para mensagens de inicialização de layout"
"Invalid transactional email code: ","Código de email de transação inválida: "
"Invalid websites configuration path: %s","Caminho de configuração de websites inválido: %s"
"JavaScript Settings","Configurações JavaScript"
"Layout","Layout"
"Leave empty for access from any location","Deixe em branco para acessar de qualquer lugar"
"Locale","Idioma"
"Locale options","Opções de Idioma"
"Log Settings","Configurações de Log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logs de Mage::log(). Arquivo fica em {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logs de Mage::logException(). Arquivo fica em {{base_dir}}/var/log"
"Login is Case Sensitive","Login Sensível a Caixa Alta"
"Logo Image Alt","Descrição da Logo"
"Logo Image Src","Diretório da Logo"
"Mail Sending Settings","Configurações de Envio de Email"
"Manage Stores","Gerenciar Lojas"
"Match expressions in the same order as displayed in the configuration.","Coincidir expressões na mesma ordem que mostrado na configuração."
"Maximum length exceeded.","Tamanho máximo excedido."
"Merge CSS Files (beta)","Juntar Arquivos CSS (beta)"
"Merge JavaScript Files (beta)","Juntar Arquivos JavaScript (beta)"
"Miscellaneous HTML","Outros Códigos HTML"
"Miscellaneous scripts","Outros Scripts"
"Model class does not exist: %s","Classe Modelo não existe: %s"
"Model collection resource name is not defined","Nome da fonte de coleção de modelo não foi informado"
"Module ""%1$s"" can not be depended from ""%2$s""","Módulo ""%1$s"" não pode depender de ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Módulo ""%1$s"" requer módulo ""%2$s"""
"Name","Nome"
"New Design Change","Nova Alteração de Template"
"New Store","Nova Loja"
"New Store View","Nova Visão"
"New Website","Novo Website"
"No","Não"
"Package","Pacote"
"Pagination","Paginação"
"Pagination Frame","Links de Paginação"
"Pagination Frame Skip","Pular Links de Paginação"
"Please choose to register or to checkout as a guest","Escolha entre criar uma conta ou fechar pedido como visitante"
"Please define flag code.","Informe o código da flag."
"Please enter 6 or more characters.","Informe 6 ou mais caracteres."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Informe 6 ou mais caracteres. Espaços a direita ou a esquerda serão ignorados."
"Please enter a number greater than 0 in this field.","Informe um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Informe um valor $ . Por exemplo $100.00."
